word,vowels,condition,harmonic,uni_prob,bi_prob,bi_prob_smoothed,pos_uni_score,pos_uni_score_smoothed,pos_bi_score,pos_bi_score_smoothed
m u t e,u e,blick,FALSE,-4.220570974,-6.461292342,-6.458682345,1.279035055850138,1.2790198195044151,1.0057793345008756,1.0058159823194137
n e k o,e o,wug unsuffixed,TRUE,-4.407265716,-6.630017824,-6.628214356,1.2472228900995799,1.2472269226280779,1.0074138937536485,1.0074444573688497
b e k e,e e,wug unsuffixed,TRUE,-3.133847257,-4.068530522,-4.069848957,1.409394518821121,1.4093228498074453,1.0705195563339172,1.0703152262417122
m e t e,e e,wug unsuffixed,TRUE,-3.133847257,-4.068530522,-4.069848957,1.409394518821121,1.4093228498074453,1.0705195563339172,1.0703152262417122
m i p u,i u,wug unsuffixed,TRUE,-4.4184063,-7.981414335,-7.964803518,1.214390825059028,1.214407693290877,1.0013426736719206,1.0013958357566592
g i t i,i i,wug unsuffixed,TRUE,-3.52951791,-4.550353557,-4.55168656,1.323614409413961,1.3235802921938995,1.0478692352597783,1.0477492148423868
p i d i,i i,wug unsuffixed,TRUE,-3.52951791,-4.550353557,-4.55168656,1.323614409413961,1.3235802921938995,1.0478692352597783,1.0477492148423868
k o b o,o o,wug unsuffixed,TRUE,-5.680684174,-6.266032622,-6.266332031,1.1218980741619446,1.1219563598575153,1.007589025,1.007618936838432
k o n e,o e,wug unsuffixed,TRUE,-4.407265716,-6.059911076,-6.058705074,1.2840697028834858,1.2840522870368827,1.0072971395213077,1.0073281377224612
d o m e,o e,wug unsuffixed,TRUE,-4.407265716,-6.059911076,-6.058705074,1.2840697028834858,1.2840522870368827,1.0072971395213077,1.0073281377224612
t u g i,u i,wug unsuffixed,TRUE,-4.4184063,-6.631896005,-6.627331949,1.2667174843381708,1.2667079978216051,1.0040863981319323,1.0041293474467838
t u b u,u u,wug unsuffixed,TRUE,-5.307294691,-5.147039252,-5.149897812,1.1574938999832378,1.1575353989185826,1.0248686514886165,1.0248342445038967
g u n u,u u,wug unsuffixed,TRUE,-5.307294691,-5.147039252,-5.149897812,1.1574938999832378,1.1575353989185826,1.0248686514886165,1.0248342445038967
